index,requested_url,final_url,saved_html,status_code,content_type,content_length,date,last_modified,etag,sha256
1,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_kubetsu.html,source_pages\01_6e12b83801b7.html,200,text/html,17561,"Fri, 19 Dec 2025 10:37:47 GMT","Thu, 04 Dec 2025 15:01:30 GMT","""4499-645219aa2bbb3""",0d337e1b1edd2521508128c399d8183e3ccc7a04843e0fdf1a4629edb3b5890e
2,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu2.html,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu2.html,source_pages\02_a8a8119a6441.html,200,text/html,33005,"Fri, 19 Dec 2025 10:37:47 GMT","Fri, 10 Jan 2025 03:02:40 GMT","""80ed-62b5153e682f7""",e083765a4c6d818cfc3005cd3b70f0da5feff47f00bd383a2b31661f1be61e78
3,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu1.html,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu1.html,source_pages\03_d1290b83d539.html,200,text/html,39312,"Fri, 19 Dec 2025 10:37:48 GMT","Mon, 26 Aug 2024 10:44:15 GMT","""9990-62093ce67b9a5""",327139ff7eabdc5d69261754444502713169622df3ee59c7d05b82a8b6e00778
4,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu.html,https://www.city.hamamatsu.shizuoka.jp/gyousei/library/1_jinkou-setai/005_past_kubetsu.html,source_pages\04_17f0807520a5.html,200,text/html,41120,"Fri, 19 Dec 2025 10:37:48 GMT","Mon, 26 Aug 2024 12:11:13 GMT","""a0a0-620950572e40a""",825ba0e8ef7dfc13b68e0794dc2e5c7fa8c24cd95cdf84040a630aa8ed56ee61
